id,name,segment_ids,description,part_of
1,2011-07-10 TRACK 1,76,,
2,2011-07-10 TRACK 2,77,,
3,2011-07-10 TRACK 3,78,,
4,2011-07-10 TRACK 5,79,,
5,2011-07-16 TRACK 4,80,,
6,Boat House to Joy Lane,189,,
7,Boathouse Road,81; 190,,
8,Connector 1,82,,
9,Connector 2,83,,
10,Connector 3,84,,
11,Connector Trail 1,191,,
12,Connector Trail 2,192,,
13,Connector Trail 3,193,,
14,East Trail,85,,
15,Farm Road,194,,
16,Field Trail,195,,
17,James Brook (unmarked path),196,,
18,KaileysGrotonHillsBrooks,123,,
19,Marked Loop Trail,229,,
20,RAIL TRAIL,154,,
21,River Trail,197,,
22,River trail (unmarked path),198,,
23,SPUR,155,,
24,Sabine River Trail,86,,
25,SawtelLoop,124,,
26,SawtelLoopConnector,125,,
27,ScarletHill,71,,
28,Shirley Road to River  (unmarked path),199,,
29,Singletrack,200,,
30,TRACK 1,27; 28; 31; 37; 42; 58; 72; 87; 97; 105; 107; 109; 118; 130; 140; 146; 156; 178; 188; 202; 210; 230; 300,,
31,TRACK 10,43; 59; 88; 131; 157; 187; 211; 231,,
32,TRACK 11,44; 60; 158; 212; 232,,
33,TRACK 12,45; 61; 159; 213; 233,,
34,TRACK 13,62; 160; 234,,
35,TRACK 14,161; 214; 235,,
36,TRACK 15,162; 236,,
37,TRACK 16,46; 163; 237,,
38,TRACK 17,47; 164; 215; 238,,
39,TRACK 18,48; 165; 239,,
40,TRACK 19,49; 166; 240,,
41,TRACK 2,29; 32; 38; 50; 63; 73; 89; 98; 106; 108; 110; 119; 132; 141; 147; 167; 179; 203; 216; 241; 301,,
42,TRACK 20,168; 217; 242,,
43,TRACK 21,169; 218; 243,,
44,TRACK 22,170; 219; 244,,
45,TRACK 23,220; 245,,
46,TRACK 24,221; 246,,
47,TRACK 25,222; 247,,
48,TRACK 26,248,,
49,TRACK 27,249,,
50,TRACK 28,250,,
51,TRACK 29,251,,
52,TRACK 3,30; 33; 39; 51; 64; 74; 90; 99; 111; 120; 133; 142; 148; 171; 180; 204; 223; 252; 302,,
53,TRACK 30,253,,
54,TRACK 31,254,,
55,TRACK 32,255,,
56,TRACK 33,256,,
57,TRACK 34,257,,
58,TRACK 35,258,,
59,TRACK 36,259,,
60,TRACK 37,260,,
61,TRACK 38,261,,
62,TRACK 39,262,,
63,TRACK 4,34; 40; 52; 65; 75; 91; 100; 112; 121; 134; 143; 149; 172; 181; 205; 224; 263; 303,,
64,TRACK 40,264,,
65,TRACK 42,265,,
66,TRACK 43,266,,
67,TRACK 44,267,,
68,TRACK 45,268,,
69,TRACK 46,269,,
70,TRACK 47,270,,
71,TRACK 48,271,,
72,TRACK 49,272,,
73,TRACK 5,35; 41; 53; 66; 92; 101; 113; 122; 135; 144; 150; 173; 182; 206; 273; 304,,
74,TRACK 50,274,,
75,TRACK 51,275,,
76,TRACK 55,276,,
77,TRACK 56,277,,
78,TRACK 57,278,,
79,TRACK 58,279,,
80,TRACK 59,280,,
81,TRACK 6,36; 54; 67; 93; 102; 114; 136; 145; 151; 174; 183; 207; 225; 281; 305,,
82,TRACK 60,282,,
83,TRACK 61,283,,
84,TRACK 7,55; 68; 94; 103; 115; 137; 152; 175; 184; 208; 226; 284,,
85,TRACK 8,56; 69; 95; 104; 116; 138; 153; 176; 185; 209; 227; 285,,
86,TRACK 9,57; 70; 96; 117; 139; 177; 186; 228; 286,,
87,TRACK-1,1,,
88,TRACK-10,10,,
89,TRACK-11,11,,
90,TRACK-12,12,,
91,TRACK-13,13,,
92,TRACK-14,14,,
93,TRACK-15,15,,
94,TRACK-16,16,,
95,TRACK-17,17,,
96,TRACK-18,18,,
97,TRACK-19,19,,
98,TRACK-2,2,,
99,TRACK-20,20,,
100,TRACK-21,21,,
101,TRACK-22,22,,
102,TRACK-23,23,,
103,TRACK-24,24,,
104,TRACK-25,25,,
105,TRACK-26,26,,
106,TRACK-3,3,,
107,TRACK-4,4,,
108,TRACK-5,5,,
109,TRACK-6,6,,
110,TRACK-7,7,,
111,TRACK-8,8,,
112,TRACK-9,9,,
113,Track,126,,
114,Track 002,127; 287,,
115,Track 003,128; 288,,
116,Track 004,129; 289,,
117,Track 005,290,,
118,Track 006,291,,
119,Track 007,292,,
120,Track 009,293,,
121,Track 010,294,,
122,Track 011,295,,
123,Track 013,296,,
124,Track 015,297,,
125,Track 017,298,,
126,Track 018,299,,
127,Trail to Upper Fields and Shirley Road,201,,
